"","annotid","n","ordinal","onset","offset","object","utterance_type","object_present","speaker","basic_level","id","subj","month","SubjectNumber","audio_video","tier"
"200","0xda1ce2",2,NA,13104160,13111620,"g","r","y","MOT","g","04_11_audio_sparse_code.csv","04","11","04_11","audio",NA
"201","0xdc1c5f",2,NA,15553670,15555230,"eyeball","d","y","AUN","eyeball","21_16_audio_sparse_code.csv","21","16","21_16","audio",NA
"202","0xdc1c5f",2,NA,43540580,43541590,"diapers","i","y","MOT","diaper","32_11_audio_sparse_code.csv","32","11","32_11","audio",NA
"203","0xdcbd28",2,NA,31142920,31143920,"cat","q","y","MOT","cat","02_17_audio_sparse_code.csv","02","17","02_17","audio",NA
"204","0xdcbd28",2,NA,36481860,36482370,"meat+sauce","n","n","SIS","sauce","10_16_audio_sparse_code.csv","10","16","10_16","audio",NA
"205","0xdea95d",2,NA,31149880,31152340,"Skye","q","n","MOT","Skye","10_08_audio_sparse_code.csv","10","08","10_08","audio",NA
"206","0xdea95d",2,NA,25681810,25682620,"truck","n","y","MOT","truck","12_15_audio_sparse_code.csv","12","15","12_15","audio",NA
"207","0xe4d5f9",2,NA,5355120,5355940,"teeth","d","y","MOT","tooth","42_15_audio_sparse_code.csv","42","15","42_15","audio",NA
"208","0xe4d5f9",2,NA,18627680,18628760,"eye","d","y","MT2","eye","27_06_audio_sparse_code.csv","27","06","27_06","audio",NA
"209","0xe568c1",2,14,306238,307938,"camera","i","n","MOT","camera","14_14_video_sparse_code.csv","14","14","14_14","video",NA
"210","0xe568c1",2,68,1042983,1044689,"Cookie+monster","d","n","MOT","Cookie+monster","18_08_video_sparse_code.csv","18","08","18_08","video",NA
"211","0xe7004d",2,NA,6601040,6603010,"buttons","i","y","GRM","button","09_16_audio_sparse_code.csv","09","16","09_16","audio",NA
"212","0xe7004d",2,NA,41379930,41380740,"mohawk","n","y","SI2","mohawk","36_14_audio_sparse_code.csv","36","14","36_14","audio",NA
"213","0xe781ad",2,NA,39155840,39157420,"Mr+potato+head","q","n","X10","Mr+potato+head","15_15_audio_sparse_code.csv","15","15","15_15","audio",NA
