"","annotid","n","ordinal","onset","offset","object","utterance_type","object_present","speaker","basic_level","id","subj","month","SubjectNumber","audio_video","tier"
"114","0x920fdf",2,NA,41898050,41899360,"car","q","y","MOT","car","36_17_audio_sparse_code.csv","36","17","36_17","audio",NA
"115","0x95d438",2,NA,36975770,36977230,"nurse","r","y","MOT","nurse","41_12_audio_sparse_code.csv","41","12","41_12","audio",NA
"116","0x95d438",2,NA,16901260,16902340,"couch","q","y","FAT","couch","11_15_audio_sparse_code.csv","11","15","11_15","audio",NA
"117","0x965f03",2,292,3687148,3688448,"book","d","n","MOT","book","10_15_video_sparse_code.csv","10","15","10_15","video",NA
"118","0x965f03",2,NA,30107790,30108790,"tubby","n","n","FAT","tubby","33_16_audio_sparse_code.csv","33","16","33_16","audio",NA
"119","0x97b212",2,NA,7988310,7989400,"desk","d","n","MOT","desk","45_16_audio_sparse_code.csv","45","16","45_16","audio",NA
"120","0x97b212",2,NA,27423630,27424890,"shoe","d","y","GRM","shoe","38_15_audio_sparse_code.csv","38","15","38_15","audio",NA
"121","0x98b4c9",2,NA,2593110,2594430,"book","q","y","MOT","book","21_12_audio_sparse_code.csv","21","12","21_12","audio",NA
"122","0x98b4c9",2,NA,13787000,13789720,"dishwasher","q","y","MOT","dishwasher","04_16_audio_sparse_code.csv","04","16","04_16","audio",NA
"123","0x9906f7",2,NA,37902720,37905680,"sun","d","n","GP2","sun","20_16_audio_sparse_code.csv","20","16","20_16","audio",NA
"124","0x9906f7",2,NA,38808250,38809050,"baby","d","y","MOT","baby","38_09_audio_sparse_code.csv","38","09","38_09","audio",NA
"125","0x9a820c",2,NA,2579490,2580490,"milk","q","n","MOT","milk","27_06_audio_sparse_code.csv","27","06","27_06","audio",NA
"126","0x9a820c",2,NA,44752210,44753890,"baby","d","n","FAT","baby","23_15_audio_sparse_code.csv","23","15","23_15","audio",NA
"127","0x9ab640",2,NA,11104330,11105280,"toast","d","n","SIS","toast","10_16_audio_sparse_code.csv","10","16","10_16","audio",NA
"128","0x9ab640",2,NA,5935210,5936890,"babies","d","n","MOT","baby","01_10_audio_sparse_code.csv","01","10","01_10","audio",NA
"129","0x9bbdee",2,41,758850,759751,"sugar","d","n","SI2","sugar","04_16_video_sparse_code.csv","04","16","04_16","video",NA
"130","0x9bbdee",2,NA,4997870,5001940,"diamond","r","n","TOY","diamond","41_07_audio_sparse_code.csv","41","07","41_07","audio",NA
"131","0x9c25b4",2,NA,22549070,22556430,"pen","d","y","MOT","pen","33_11_audio_sparse_code.csv","33","11","33_11","audio",NA
"132","0x9c25b4",2,116,463454,465633,"sidewalk","d","n","MOT","sidewalk","19_14_video_sparse_code.csv","19","14","19_14","video",NA
"133","0x9dacd3",2,NA,30756730,30758190,"carrots","i","y","MOT","carrots","27_15_audio_sparse_code.csv","27","15","27_15","audio",NA
"134","0x9dacd3",2,NA,20839760,20841920,"bananas","d","y","GRM","banana","20_16_audio_sparse_code.csv","20","16","20_16","audio",NA
"135","0xa4de0e",2,97,787469,789545,"baby","d","n","GRM","baby","16_09_video_sparse_code.csv","16","09","16_09","video",NA
"136","0xa4de0e",2,99,1894956,1896070,"camera","d","n","MOT","camera","28_13_video_sparse_code.csv","28","13","28_13","video",NA
"137","0xa72bdc",2,NA,5353470,5354530,"yogurt","q","y","MOT","yogurt","42_13_audio_sparse_code.csv","42","13","42_13","audio",NA
"138","0xa72bdc",2,NA,45451400,45454890,"face","i","n","FAT","face","15_15_audio_sparse_code.csv","15","15","15_15","audio",NA
"139","0xa85305",2,NA,18305700,18307200,"milk","d","n","MOT","milk","18_15_audio_sparse_code.csv","18","15","18_15","audio",NA
"140","0xa85305",2,NA,8219800,8220880,"flamingo","n","y","CHI","flamingo","08_17_audio_sparse_code.csv","08","17","08_17","audio",NA
"141","0xa994dd",2,NA,44643580,44645390,"baba","i","n","FAT","bottle","23_12_audio_sparse_code.csv","23","12","23_12","audio",NA
"142","0xa994dd",2,NA,35281350,35283790,"ketchup","q","n","MOT","ketchup","04_16_audio_sparse_code.csv","04","16","04_16","audio",NA
"143","0xa9f290",2,NA,28530230,28531030,"bag","d","y","SIS","bag","18_09_audio_sparse_code.csv","18","09","18_09","audio",NA
"144","0xa9f290",2,149,1739950,1741106,"shoes","q","n","SI2","shoe","04_14_video_sparse_code.csv","04","14","04_14","video",NA
"145","0xaaa84c",2,NA,6004330,6005330,"diaper","q","n","FAT","diaper","30_16_audio_sparse_code.csv","30","16","30_16","audio",NA
"146","0xaaa84c",2,NA,29488610,29489430,"watermelon","d","n","MOT","watermelon","08_12_audio_sparse_code.csv","08","12","08_12","audio",NA
"147","0xaac5b5",2,NA,34570310,34571660,"cake","d","n","FAT","cake","02_16_audio_sparse_code.csv","02","16","02_16","audio",NA
"148","0xaac5b5",2,NA,37955550,37958700,"chicken","q","n","FAT","chicken","30_15_audio_sparse_code.csv","30","15","30_15","audio",NA
"149","0xac197e",2,NA,2132320,2136300,"playground","d","n","FAT","playground","02_14_audio_sparse_code.csv","02","14","02_14","audio",NA
"150","0xac197e",2,NA,26853280,26855750,"laundry","d","n","MOT","laundry","33_08_audio_sparse_code.csv","33","08","33_08","audio",NA
"151","0xae5e04",2,NA,17488720,17491130,"cheese","q","n","MOT","cheese","10_12_audio_sparse_code.csv","10","12","10_12","audio",NA
"152","0xae5e04",2,NA,3915920,3916980,"head","i","y","MOT","head","15_15_audio_sparse_code.csv","15","15","15_15","audio",NA
"153","0xb06fed",2,NA,33239050,33240350,"water","q","n","MT2","water","27_06_audio_sparse_code.csv","27","06","27_06","audio",NA
"154","0xb06fed",2,87,1398692,1400766,"kitty","i","y","MOT","kitty","32_14_video_sparse_code.csv","32","14","32_14","video",NA
