file,annotid
/Volumes/pn-opus/Seedlings/Subject_Files/12/12_07/Home_Visit/Coding/Audio_Annotation/12_07_sparse_code.cha,0x1a4dec
/Volumes/pn-opus/Seedlings/Subject_Files/12/12_09/Home_Visit/Coding/Audio_Annotation/12_09_sparse_code.cha,0xc7a28d
/Volumes/pn-opus/Seedlings/Subject_Files/12/12_11/Home_Visit/Coding/Audio_Annotation/12_11_sparse_code.cha,0x6f718c
/Volumes/pn-opus/Seedlings/Subject_Files/12/12_13/Home_Visit/Coding/Audio_Annotation/12_13_sparse_code.cha,0x8732e7
/Volumes/pn-opus/Seedlings/Subject_Files/12/12_17/Home_Visit/Coding/Audio_Annotation/12_17_sparse_code.cha,0x795ee6
/Volumes/pn-opus/Seedlings/Subject_Files/13/13_09/Home_Visit/Coding/Audio_Annotation/13_09_sparse_code.cha,0x2be2d5
/Volumes/pn-opus/Seedlings/Subject_Files/13/13_11/Home_Visit/Coding/Audio_Annotation/13_11_sparse_code.cha,0x933be5
/Volumes/pn-opus/Seedlings/Subject_Files/13/13_11/Home_Visit/Coding/Audio_Annotation/13_11_sparse_code.cha,0x591734
/Volumes/pn-opus/Seedlings/Subject_Files/14/14_14/Home_Visit/Coding/Audio_Annotation/14_14_sparse_code.cha,0x583eb4
/Volumes/pn-opus/Seedlings/Subject_Files/14/14_15/Home_Visit/Coding/Audio_Annotation/14_15_sparse_code.cha,0xd27558
/Volumes/pn-opus/Seedlings/Subject_Files/15/15_07/Home_Visit/Coding/Audio_Annotation/15_07_sparse_code.cha,0x689e79
/Volumes/pn-opus/Seedlings/Subject_Files/15/15_10/Home_Visit/Coding/Audio_Annotation/15_10_sparse_code.cha,0xf6e434
/Volumes/pn-opus/Seedlings/Subject_Files/15/15_12/Home_Visit/Coding/Audio_Annotation/15_12_sparse_code.cha,0x1bf8e9
/Volumes/pn-opus/Seedlings/Subject_Files/15/15_12/Home_Visit/Coding/Audio_Annotation/15_12_sparse_code.cha,0x60b50d
/Volumes/pn-opus/Seedlings/Subject_Files/15/15_12/Home_Visit/Coding/Audio_Annotation/15_12_sparse_code.cha,0x91d333
/Volumes/pn-opus/Seedlings/Subject_Files/15/15_12/Home_Visit/Coding/Audio_Annotation/15_12_sparse_code.cha,0x0bd6d3
/Volumes/pn-opus/Seedlings/Subject_Files/15/15_13/Home_Visit/Coding/Audio_Annotation/15_13_sparse_code.cha,0xfa9838
/Volumes/pn-opus/Seedlings/Subject_Files/16/16_15/Home_Visit/Coding/Audio_Annotation/16_15_sparse_code.cha,0x820b85
/Volumes/pn-opus/Seedlings/Subject_Files/16/16_16/Home_Visit/Coding/Audio_Annotation/16_16_sparse_code.cha,0x54e86d
/Volumes/pn-opus/Seedlings/Subject_Files/16/16_16/Home_Visit/Coding/Audio_Annotation/16_16_sparse_code.cha,0x18e58c
/Volumes/pn-opus/Seedlings/Subject_Files/17/17_09/Home_Visit/Coding/Audio_Annotation/17_09_sparse_code.cha,0x074dca
