"ordinal","onset","offset","object","utterance_type","object_present","speaker","basic_level","annotid","id","subj","month","SubjectNumber","audio_video","tier"
84,901753,903425,"vitamin+c","d","y","MOT","vitamin+c","0x8a55c1","44_14_video_sparse_code.csv","44","14","44_14","video",NA
NA,16725910,16727320,"hands","d","y","MOT","hand","0x8c239a","09_12_audio_sparse_code.csv","09","12","09_12","audio","*FAN"
NA,37054230,37055620,"toe","q","n","FAT","toe","0x8c239a","15_15_audio_sparse_code.csv","15","15","15_15","audio","*OLF"
15,398141,402357,"box","q","y","MOT","box","0x91e74c","35_07_video_sparse_code.csv","35","07","35_07","video",NA
77,510094,511767,"cheerios","d","y","MOT","cheerios","0x91e74c","42_14_video_sparse_code.csv","42","14","42_14","video",NA
NA,36975770,36977230,"nurse","r","y","MOT","nurse","0x95d438","41_12_audio_sparse_code.csv","41","12","41_12","audio","*FAN"
NA,16901260,16902340,"couch","q","y","FAT","couch","0x95d438","11_15_audio_sparse_code.csv","11","15","11_15","audio","*MAN"
289,3687148,3688448,"book","d","n","MOT","book","0x965f03","10_15_video_sparse_code.csv","10","15","10_15","video",NA
NA,30107790,30108790,"tubby","n","n","FAT","tubby","0x965f03","33_16_audio_sparse_code.csv","33","16","33_16","audio","*MAN"
NA,2579490,2580490,"milk","q","n","MOT","milk","0x9a820c","27_06_audio_sparse_code.csv","27","06","27_06","audio","*FAN"
NA,44752210,44753890,"baby","d","n","FAT","baby","0x9a820c","23_15_audio_sparse_code.csv","23","15","23_15","audio","*MAN"
116,463454,465633,"sidewalk","d","n","MOT","sidewalk","0x9c25b4","19_14_video_sparse_code.csv","19","14","19_14","video",NA
NA,22549070,22556430,"pen","d","y","MOT","pen","0x9c25b4","33_11_audio_sparse_code.csv","33","11","33_11","audio","*OLN"
97,787469,789545,"baby","d","n","GRM","baby","0xa4de0e","16_09_video_sparse_code.csv","16","09","16_09","video",NA
99,1894956,1896070,"camera","d","n","MOT","camera","0xa4de0e","28_13_video_sparse_code.csv","28","13","28_13","video",NA
NA,5353470,5354530,"yogurt","q","y","MOT","yogurt","0xa72bdc","42_13_audio_sparse_code.csv","42","13","42_13","audio","*FAN"
NA,45451400,45454890,"face","i","n","FAT","face","0xa72bdc","15_15_audio_sparse_code.csv","15","15","15_15","audio","*MAN"
NA,18305700,18307200,"milk","d","n","MOT","milk","0xa85305","18_15_audio_sparse_code.csv","18","15","18_15","audio","*FAN"
NA,8219800,8220880,"flamingo","n","y","CHI","flamingo","0xa85305","08_17_audio_sparse_code.csv","08","17","08_17","audio","*CHN"
149,1739950,1741106,"shoes","q","n","SI2","shoe","0xa9f290","04_14_video_sparse_code.csv","04","14","04_14","video",NA
NA,28530230,28531030,"bag","d","y","SIS","bag","0xa9f290","18_09_audio_sparse_code.csv","18","09","18_09","audio","*CXN"
NA,26853280,26855750,"laundry","d","n","MOT","laundry","0xac197e","33_08_audio_sparse_code.csv","33","08","33_08","audio","*FAN"
NA,2132320,2136300,"playground","d","n","FAT","playground","0xac197e","02_14_audio_sparse_code.csv","02","14","02_14","audio","*MAN"
NA,17488720,17491130,"cheese","q","n","MOT","cheese","0xae5e04","10_12_audio_sparse_code.csv","10","12","10_12","audio","*OLF"
NA,3915920,3916980,"head","d","n","MOT","head","0xae5e04","15_15_audio_sparse_code.csv","15","15","15_15","audio","*OLN"
87,1398692,1400766,"kitty","i","y","MOT","kitty","0xb06fed","32_14_video_sparse_code.csv","32","14","32_14","video",NA
NA,33239050,33240350,"water","q","n","MT2","water","0xb06fed","27_06_audio_sparse_code.csv","27","06","27_06","audio","*FAN"
NA,17315730,17318590,"keys","q","y","MOT","key","0xb230d7","46_14_audio_sparse_code.csv","46","14","46_14","audio","*OLN"
NA,17174790,17175920,"Ladybug+colors","d","y","AMB","Ladybug+colors","0xb230d7","42_15_audio_sparse_code.csv","42","15","42_15","audio","*MAN"
281,3424032,3424331,"caterpillar","q","y","MOT","caterpillar","0xbe3f7b","10_14_video_sparse_code.csv","10","14","10_14","video",NA
NA,31065280,31066280,"remote","d","n","FAT","remote","0xbe3f7b","35_09_audio_sparse_code.csv","35","09","35_09","audio","*MAN"
NA,13351000,13353980,"wagon","d","y","MOT","wagon","0xc70e96","02_13_audio_sparse_code.csv","02","13","02_13","audio","*FAN"
